run_date,run_id,total_questions,fallback_rate,hit_at_3,hit_at_5,hit_at_10,mrr,recall,avg_faithfulness,avg_answer_relevance,avg_correctness,pass_rate_correctness_ge4,avg_latency_s,duration_s
2026-08-24T09:46:50,20260824_094650,2,0.0,0.0,0.0,1.0,0.1458,1.0,2.0,1.0,0.0,0.0,244.23,842.2
2026-08-24T10:14:06,20260824_101406,1,0.0,0.0,0.0,1.0,0.125,1.0,,,,,227.63,227.7
2026-08-24T10:41:10,20260824_104110,1,0.0,0.0,0.0,1.0,0.125,1.0,,,,,421.27,421.5
2026-08-24T12:58:40,FULL1,10,0.0,0.3,0.4,0.7,0.3309,1.0,3.4,3.4,1.6,0.1,455.89,7124.2
2026-08-28T14:12:22,FINAL_V2,30,0.0,0.2,0.2667,0.2667,0.2129,0.2667,0.2667,0.4,0.4,0.2944,0.4,0.3246,3.1,2.767,1.333,0.233,0.5,False,200.42,8561.8
